Interactions	FigStatus	Notes	geneName	UniProt	Description	Pathway	Glycogene	Reactant	Product	Constraints	Compartment	Rules	Comments					Sequence
ALG13, ALG14			ALG13	Q9NP73	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13	Dolichol_Pathway	GlcNAcT	GlcNAc(a1-?)Dol-P-P	GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	{GlcNAc(b1-4)}GlcNAc(a1-?)Dol-P-P						65
ALG13, ALG14			ALG14	Q96F25	UDP-N-acetylglucosamine transferase subunit ALG14 homolog	Dolichol_Pathway	GlcNAcT	GlcNAc(a1-?)Dol-P-P	GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum,Nucleus	{GlcNAc(b1-4)}GlcNAc(a1-?)Dol-P-P						66
None			ALG1	Q9BT22	Chitobiosyldiphosphodolichol beta-mannosyltransferase	Dolichol_Pathway	ManT,α4ManT	GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	{Man(b1-4)}GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						67
None			ALG2	O75340	Programmed cell death protein 6	Dolichol_Pathway	ManT,α3ManT	Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P 	None	Vesicle,Nucleus,Nucleus,Cytosol,Endosome,Endoplasmic Reticulum,Exosome	{Man(a1-3)}Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)|{Man(a1-6)}[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						68
None			ALG11	Q2TAA5	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	Dolichol_Pathway	ManT,α2ManT	Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	Man(a1-6)[{Man(a1-2)}Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-6)[{Man(a1-2)}Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						69
None			ALG1L	Q6GMV1	Putative glycosyltransferase ALG1-like	Dolichol_Pathway	Putative or Inactive	no reaction		None	Endoplasmic Reticulum	no reaction						70
None			ALG1L2	C9J202	Putative glycosyltransferase ALG1L2	Dolichol_Pathway	Putative or Inactive	no reaction		None	Endoplasmic Reticulum	no reaction						71
GNTAB, GNPTG			GNPTAB	Q3T906	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	N-linked, Lysosomal_Targeting	GlcNAcT	Man(a1-2)Man(a1-3)|Man(a1-2)Man(a1-2)Man(a1-6)	GlcNAc(a1-?)-P-Man(a1-2)Man(a1-3)|Man(a1-2)GlcNAc(a1-?)-P-Man(a1-2)Man(a1-6)	None	Golgi	{GlcNAc(a1-?)-P-}Man(a1-2)Man(a1-3)|Man(a1-2){GlcNAc(a1-?)-P-}Man(a1-2)Man(a1-6)						72
GNTAB, GNPTG			GNPTG	Q9UJJ9	N-acetylglucosamine-1-phosphotransferase subunit gamma	N-linked, Lysosomal_Targeting	Regulator, Enhancer	no reaction	no reaction	None	Golgi,Exosome	no reaction						73
None			NAGPA	Q9UK23	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	N-linked, Lysosomal_Targeting	NAcetylglucosaminidase	GlcNAc(a1-?)-P-Man(a1-2)Man(a1-3)|Man(a1-2)GlcNAc(a1-?)-P-Man(a1-2)Man(a1-6)	Man(a1-2)Man(a1-3)|Man(a1-2)Man(a1-2)Man(a1-6)	None	Golgi	{!GlcNAc(a1-?)-P-}Man(a1-2)Man(a1-3)|Man(a1-2){!GlcNAc(a1-?)-P-}Man(a1-2)Man(a1-6)						74
None			EDEM1	Q92611	ER degradation-enhancing alpha-mannosidase-like protein 1	N-linked, Nlinked_Processing	Mannosidase	no reaction		None	Endoplasmic Reticulum	no reaction						75
None			EDEM2	Q9BV94	ER degradation-enhancing alpha-mannosidase-like protein 2	N-linked, Nlinked_Processing	Mannosidase	no reaction		None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	no reaction						76
None			EDEM3	Q9BZQ6	ER degradation-enhancing alpha-mannosidase-like protein 3	N-linked, Nlinked_Processing	Mannosidase	no reaction		None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	no reaction						77
None			MAN1A1	P33908	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	N-linked, Nlinked_Processing	Mannosidase	Man(a1-2)Man(a1-?)	Man(a1-?)	None	Golgi,Endoplasmic Reticulum,ERGIC,Cytosol,Exosome	{!Man(a1-2)}Man(a1-?)						78
None			MAN1A2	O60476	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	N-linked, Nlinked_Processing	Mannosidase	Man(a1-2)Man(a1-?)	Man(a1-?)	None	Golgi,Endoplasmic Reticulum,Exosome	{!Man(a1-2)}Man(a1-?)						79
None			MAN1B1	Q9UKM7	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	N-linked, Nlinked_Processing	Mannosidase	Man(a1-2)Man(a1-3)Man(a1-6)	Man(a1-3)Man(a1-6)	None	Vesicle,Endoplasmic Reticulum,Golgi,Extracellular	{!Man(a1-2)}Man(a1-3)Man(a1-6)						80
None			MAN1C1	Q9NR34	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC	N-linked, Nlinked_Processing	Mannosidase	Man(a1-2)Man(a1-?)	Man(a1-?)	None	Golgi,Endoplasmic Reticulum,Exosome	{!Man(a1-2)}Man(a1-?)						81
None			MAN2A1	Q16706	Alpha-mannosidase 2	N-linked, Nlinked_Processing	Mannosidase	Man(a1-6)...Man(a1-6)Man(b1-4)|Man(a1-6)Man(a1-6)Man(b1-4)|Man(a1-3)...Man(a1-6)Man(b1-4)|Man(a1-3)Man(a1-6)Man(b1-4)	...Man(a1-6)Man(b1-4)|Man(a1-6)Man(b1-4)|...Man(a1-6)Man(b1-4)|Man(a1-6)Man(b1-4)	!Gal(b1-?)&GlcNAc(b1-2)	Golgi,cisGolgi,Exosome	{!Man(a1-6)}...Man(a1-6)Man(b1-4)|{!Man(a1-6)}Man(a1-6)Man(b1-4)|{!Man(a1-3)}...Man(a1-6)Man(b1-4)|{!Man(a1-3)}Man(a1-6)Man(b1-4)						82
None			MAN2A2	P49641	Alpha-mannosidase 2x	N-linked, Nlinked_Processing	Mannosidase	Man(a1-6)...Man(a1-6)Man(b1-4)|Man(a1-6)Man(a1-6)Man(b1-4)|Man(a1-3)...Man(a1-6)Man(b1-4)|Man(a1-3)Man(a1-6)Man(b1-4)	...Man(a1-6)Man(b1-4)|Man(a1-6)Man(b1-4)|...Man(a1-6)Man(b1-4)|Man(a1-6)Man(b1-4)	!Gal(b1-?)&GlcNAc(b1-2)	Golgi	{!Man(a1-6)}...Man(a1-6)Man(b1-4)|{!Man(a1-6)}Man(a1-6)Man(b1-4)|{!Man(a1-3)}...Man(a1-6)Man(b1-4)|{!Man(a1-3)}Man(a1-6)Man(b1-4)						83
None			MOGS	Q13724	Mannosyl-oligosaccharide glucosidase	N-linked,Nlinked_Processing	Glucosidase	Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)	Glc(a1-3)Glc(a1-3)Man(a1-2)	None	Endoplasmic Reticulum,Exosome	{!Glc(a1-2)}Glc(a1-3)Glc(a1-3)Man(a1-2)						84
GANAB, PRKCSH			PRKCSH	P14314	Glucosidase 2 subunit beta	N-linked, Nlinked_Processing	Regulator, Enhancer	no reaction		None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	no reaction						85
GANAB, PRKCSH			GANAB	Q14697	Neutral alpha-glucosidase AB	N-linked, Nlinked_Processing	Glucosidase	Glc(a1-3)Man(a1-2)|Glc(a1-3)Glc(a1-3)Man(a1-2)	Man(a1-2)|Glc(a1-3)Man(a1-2)	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen,Golgi,Exosome	{!Glc(a1-3)}Man(a1-2)|{!Glc(a1-3)}Glc(a1-3)Man(a1-2)						86
None			UGGT1	Q9NYU2	UDP-glucose:glycoprotein glucosyltransferase 1	N-linked, Nlinked_Processing	GlcT	Man(a1-2)Man(a1-2)Man(a1-3)	Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen,ERGIC	{Glc(a1-3)}Man(a1-2)Man(a1-2)Man(a1-3)						87
None			UGGT2	Q9NYU1	UDP-glucose:glycoprotein glucosyltransferase 2	N-linked, Nlinked_Processing	GlcT	Man(a1-2)Man(a1-2)Man(a1-3)	Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen,ERGIC	{Glc(a1-3)}Man(a1-2)Man(a1-2)Man(a1-3)						88
None			MANEA	Q5SRI9	Glycoprotein endo-alpha-1,2-mannosidase	N-linked, Nlinked_Processing	Mannosidase	Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)|Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)|Glc(a1-3)Man(a1-2)Man(a1-2)	Man(a1-2)|Man(a1-2)|Man(a1-2)	None	Golgi	{!Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)}Man(a1-2)|{!Glc(a1-3)Glc(a1-3)Man(a1-2)}Man(a1-2)|{!Glc(a1-3)Man(a1-2)}Man(a1-2)						89
None			FUT8	Q9BYC5	Alpha-(1,6)-fucosyltransferase	N-linked,Nlinked_Branching	FucosylT,α6FucosylT	...GlcNAc(b1-4)GlcNAc(b1-?)	...GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc(b1-?)	GlcNAc(b1-2)&!GlcNAc(b1-4)[…]Man(b1-4)&!Fuc(a1-?)	Golgi,Exosome	...GlcNAc(b1-4){[Fuc(a1-6)]}GlcNAc(b1-?)						90
None			MGAT1	P26572	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	N-linked,Nlinked_Branching	GlcNAcT	Man(a1-3)...Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)	GlcNAc(b1-2)Man(a1-3)...Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)	None	Golgi,ERGIC,Cytosol,Exosome,Extracellular	{GlcNAc(b1-2)}Man(a1-3)...Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)						91
None			MGAT2	Q10469	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	N-linked,Nlinked_Branching	GlcNAcT	Man(a1-6)Man(b1-4)	GlcNAc(b1-2)Man(a1-6)Man(b1-4)	GlcNAc(b1-2)	Golgi	{GlcNAc(b1-2)}Man(a1-6)Man(b1-4)						92
None			MGAT3	Q09327	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	N-linked,Nlinked_Branching	GlcNAcT	[…]Man(b1-4)	GlcNAc(b1-4)[...]Man(b1-4)	nGlcNAc(b1-2)=2	Golgi	{GlcNAc(b1-4)}[...]Man(b1-4)						93
None			MGAT4A	Q9UM21	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	N-linked,Nlinked_Branching	GlcNAcT	GlcNAc(b1-2)Man(a1-3)	GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)	!Gal(b1-?)&!GlcNAc(b1-4)[…]Man(b1-4)	Golgi,Endoplasmic Reticulum,Endoplasmic Reticulum Lumen,ERGIC	GlcNAc(b1-2){[GlcNAc(b1-4)]}Man(a1-3)						94
None			MGAT4B	Q9UQ53	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	N-linked,Nlinked_Branching	GlcNAcT	GlcNAc(b1-2)Man(a1-3)	GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)	!GlcNAc(b1-4)[…]Man(b1-4)&!Gal(b1-?)	Golgi,Endoplasmic Reticulum,ERGIC	GlcNAc(b1-2){[GlcNAc(b1-4)]}Man(a1-3)						95
None			MGAT4C	Q9UBM8	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C	N-linked,Nlinked_Branching	GlcNAcT	GlcNAc(b1-2)Man(a1-3)	GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)	!GlcNAc(b1-4)[…]Man(b1-4)&!Gal(b1-?)	Golgi	GlcNAc(b1-2){[GlcNAc(b1-4)]}Man(a1-3)						96
None			MGAT5	Q09328	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	N-linked,Nlinked_Branching	GlcNAcT	GlcNAc(b1-2)Man(a1-6)	GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)	!GlcNAc(b1-4)[…]Man(b1-4)&!Gal(b1-?)	Golgi,Exosome	GlcNAc(b1-2){[GlcNAc(b1-6)]}Man(a1-6)						97
None			GALNT1	Q10472	Polypeptide N-acetylgalactosaminyltransferase 1	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Extracellular,Golgi,ERGIC,Cytosol	{GalNAc(a1-?)}Ser/Thr						98
None			GALNT10	Q86SR1	Polypeptide N-acetylgalactosaminyltransferase 10	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						99
None			GALNT11	Q8NCW6	Polypeptide N-acetylgalactosaminyltransferase 11	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						100
None			GALNT12	Q8IXK2	Polypeptide N-acetylgalactosaminyltransferase 12	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						101
None			GALNT13	Q8IUC8	Polypeptide N-acetylgalactosaminyltransferase 13	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						102
None			GALNT14	Q96FL9	Polypeptide N-acetylgalactosaminyltransferase 14	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						103
None			GALNT15	Q7Z4T8	Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Late Endosome	{GalNAc(a1-?)}Ser/Thr						104
None			GALNT16	Q8N428	Polypeptide N-acetylgalactosaminyltransferase 16	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						105
None			GALNT17	Q49A17	Polypeptide N-acetylgalactosaminyltransferase-like 6	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						106
None			GALNT18	Q6P9A2	Polypeptide N-acetylgalactosaminyltransferase 18	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						107
None			GALNT2	Q10471	Polypeptide N-acetylgalactosaminyltransferase 2	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Extracellular,Cytosol	{GalNAc(a1-?)}Ser/Thr						108
None			GALNT3	Q14435	Polypeptide N-acetylgalactosaminyltransferase 3	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Cytosol,Exosome	{GalNAc(a1-?)}Ser/Thr						109
None			GALNT4	Q8N4A0	Polypeptide N-acetylgalactosaminyltransferase 4	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Cytosol,Exosome	{GalNAc(a1-?)}Ser/Thr						110
None			GALNT5	Q7Z7M9	Polypeptide N-acetylgalactosaminyltransferase 5	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						111
None			GALNT6	Q8NCL4	Polypeptide N-acetylgalactosaminyltransferase 6	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Cytosol	{GalNAc(a1-?)}Ser/Thr						112
None			GALNT7	Q86SF2	N-acetylgalactosaminyltransferase 7	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi,Exosome	{GalNAc(a1-?)}Ser/Thr						113
None			GALNT8	Q9NY28	Probable polypeptide N-acetylgalactosaminyltransferase 8	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						114
None			GALNT9	Q9HCQ5	Polypeptide N-acetylgalactosaminyltransferase 9	O-GalNAc	GalNAcT,ppGalNAcT	Ser/Thr	GalNAc(a1-?)Ser/Thr	None	Golgi	{GalNAc(a1-?)}Ser/Thr						115
None			EOGT	Q5NDL2	EGF domain-specific O-linked N-acetylglucosamine transferase	EOGT_Type	GlcNAcT	Ser/Thr[EGF]	GlcNAc(a1-?)Ser/Thr[EGF]	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen,Cytosol	{GlcNAc(a1-?)}Ser/Thr[EGF]						116
None			POGLUT1	Q8NBL1	Protein O-glucosyltransferase 1	O-Glc	GlcT	Ser[EGF]	Glc(b1-?)Ser[EGF]	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	{Glc(b1-?)}Ser[EGF]						117
None			POGLUT2	Q9JHP7	Protein O-glucosyltransferase 2	O-Glc	GlcT	Ser[EGF]	Glc(b1-?)Ser[EGF]	None	Nucleus,Endoplasmic Reticulum Lumen,Cytosol	{Glc(b1-?)}Ser[EGF]						118
None			POGLUT3	Q7Z4H8	Protein O-glucosyltransferase 3	O-Glc	GlcT	Ser[EGF]	Glc(b1-?)Ser[EGF]	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	{Glc(b1-?)}Ser[EGF]						119
None			GXYLT1	Q4G148	Glucoside xylosyltransferase 1	O-Glc	XylT,α3XylT	Glc(b1-?)Ser[EGF]	Xyl(a1-3)Glc(b1-?)Ser[EGF]	None	Endoplasmic Reticulum	{Xyl(a1-3)}Glc(b1-?)Ser[EGF]						120
None			GXYLT2	A0PJZ3	Glucoside xylosyltransferase 2	O-Glc	XylT,α3XylT	Glc(b1-?)Ser[EGF]	Xyl(a1-3)Glc(b1-?)Ser[EGF]	None	Endoplasmic Reticulum	{Xyl(a1-3)}Glc(b1-?)Ser[EGF]						121
None			XXYLT1	Q8NBI6	Xyloside xylosyltransferase 1	O-Glc	XylT,α3XylT	Xyl(a1-3)Glc(b1-?)Ser[EGF]	Xyl(a1-3)Xyl(a1-3)Glc(b1-?)Ser[EGF]	None	Endoplasmic Reticulum	{Xyl(a1-3)}Xyl(a1-3)Glc(b1-?)Ser[EGF]						122
None			DPY19L1	Q2PZI1	Probable C-mannosyltransferase DPY19L1	C-Man	ManT,W_ManT	WXXW	Man(??-?)WXXW	None	Nucleus	{Man(??-?)}WXXW						123
None			DPY19L2	Q6NUT2	Probable C-mannosyltransferase DPY19L2	C-Man	ManT,W_ManT	WXXW	Man(??-?)WXXW	None	Nucleus	{Man(??-?)}WXXW						124
None			DPY19L3	Q6ZPD9	Probable C-mannosyltransferase DPY19L3	C-Man	ManT,W_ManT	WXXW	Man(??-?)WXXW	None	Nucleus	{Man(??-?)}WXXW						125
None			DPY19L4	Q7Z388	Probable C-mannosyltransferase DPY19L4	C-Man	ManT,W_ManT	WXXW	Man(??-?)WXXW	None	Nucleus	{Man(??-?)}WXXW						126
None			TMTC1	Q8IUR5	Protein O-mannosyl-transferase TMTC1	O-Man,TMTC_Type	ManT,Cad_ManT	Ser/Thr[Cad]	Man(a1-1)Ser/Thr[Cad]	None	Endoplasmic Reticulum	{Man(a1-1)}Ser/Thr[Cad]						127
None			TMTC2	Q8N394	Protein O-mannosyl-transferase TMTC2	O-Man,TMTC_Type	ManT,Cad_ManT	Ser/Thr[Cad]	Man(a1-1)Ser/Thr[Cad]	None	Endoplasmic Reticulum	{Man(a1-1)}Ser/Thr[Cad]						128
None			TMTC3	Q6ZXV5	Protein O-mannosyl-transferase TMTC3	O-Man,TMTC_Type	ManT,Cad_ManT	Ser/Thr[Cad]	Man(a1-1)Ser/Thr[Cad]	None	Endoplasmic Reticulum	{Man(a1-1)}Ser/Thr[Cad]						129
None			TMTC4	Q5T4D3	Protein O-mannosyl-transferase TMTC4	O-Man,TMTC_Type	ManT,Cad_ManT	Ser/Thr[Cad]	Man(a1-1)Ser/Thr[Cad]	None	Endoplasmic Reticulum	{Man(a1-1)}Ser/Thr[Cad]						130
None			POFUT1	Q9H488	GDP-fucose protein O-fucosyltransferase 1	O-Fuc	FucosylT	Ser/Thr[EGF]	Fuc(a1-?)Ser/Thr[EGF]	None	Endoplasmic Reticulum	{Fuc(a1-?)}Ser/Thr[EGF]	EGF (already mentioned)					131
None			POFUT2	Q9Y2G5	GDP-fucose protein O-fucosyltransferase 2	O-Fuc	FucosylT	Ser/Thr[TSR]	Fuc(a1-?)Ser/Thr[TSR]	None	Endoplasmic Reticulum,Golgi	{Fuc(a1-?)}Ser/Thr[TSR]	TSR (already mentioned)					132
None			LFNG	Q8NES3	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe	O-Fuc	GlcNAcT	Fuc(a1-?)Ser/Thr[EGF]	GlcNAc(b1-3)Fuc(a1-?)Ser/Thr[EGF]	None	Golgi,Extracellular	{GlcNAc(b1-3)}Fuc(a1-?)Ser/Thr[EGF]	acts after POFUT1					133
None			MFNG	O00587	Beta-1,3-N-acetylglucosaminyltransferase manic fringe	O-Fuc	GlcNAcT	Fuc(a1-?)Ser/Thr[EGF]	GlcNAc(b1-3)Fuc(a1-?)Ser/Thr[EGF]	None	Golgi,Extracellular	{GlcNAc(b1-3)}Fuc(a1-?)Ser/Thr[EGF]	acts after POFUT1					134
None			RFNG	Q9Y644	Beta-1,3-N-acetylglucosaminyltransferase radical fringe	O-Fuc	GlcNAcT	Fuc(a1-?)Ser/Thr[EGF]	GlcNAc(b1-3)Fuc(a1-?)Ser/Thr[EGF]	None	Golgi,Extracellular	{GlcNAc(b1-3)}Fuc(a1-?)Ser/Thr[EGF]	acts after POFUT1					135
None			B3GLCT	Q6Y288	Beta-1,3-glucosyltransferase	O-Fuc	GlcT	Fuc(a1-?)Ser/Thr[TSR]	Glc(b1-3)Fuc(a1-?)Ser/Thr[TSR]	None	Endoplasmic Reticulum,Golgi	{Glc(b1-3)}Fuc(a1-?)Ser/Thr[TSR]	acts after POFUT2					136
None	add fig		PLOD1	Q02809	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Collagen_Glycosylation	Dioxygenase	Lys	5-hydroxy-L-lysyl-	None	Endoplasmic Reticulum,Exosome	{Lys->5-hydroxy-L-lysyl}	collagen specific'					137
None	add fig		PLOD2	O00469	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	Collagen_Glycosylation	Dioxygenase	Lys	5-hydroxy-L-lysyl-	None	Endoplasmic Reticulum,Exosome	{Lys->5-hydroxy-L-lysyl}	collagen specific'					138
None	add fig		PLOD3	O60568	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	Collagen_Glycosylation	GalT	Lys|Gal(b1-?)5-hydroxy-L-lysyl-	5-hydroxy-L-lysyl|Glc(a1-2)Gal(b1-?)5-hydroxy-L-lysyl	None	Extracellular,Endoplasmic Reticulum,Golgi,transGolgi network	{Lys->5-hydroxy-L-lysyl}|{Glc(a1-2)}Gal(b1-?)5-hydroxy-L-lysyl	collagen specific'					139
None	add fig		COLGALT1	Q8NBJ5	Procollagen galactosyltransferase 1	Collagen_Glycosylation	GalT	5-hydroxy-L-lysyl-	Gal(b1-?)5-hydroxy-L-lysyl-	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	{Gal(b1-?)}5-hydroxy-L-lysyl	collagen specific'					140
None	add fig		COLGALT2	Q8IYK4	Procollagen galactosyltransferase 2	Collagen_Glycosylation	GalT	5-hydroxy-L-lysyl-	Gal(b1-?)5-hydroxy-L-lysyl-	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	{Gal(b1-?)}5-hydroxy-L-lysyl	collagen specific'					141
None	add to DAG fig		POMK	Q9H5K3	Protein O-mannose kinase	O-Man,POMGNT2_Type	Kinase	GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)Ser/Thr[Dysro]	GalNAc(b1-3)GlcNAc(b1-4)Man6P(a1-?)Ser/Thr[Dystro]	None	Endoplasmic Reticulum	GalNAc(b1-3)GlcNAc(b1-4)Man{6P}(a1-?)Ser/Thr[Dystro]						142
POMT1,POMT2			POMT1	Q9Y6A1	Protein O-mannosyl-transferase 1	O-Man,POMGNT1_Type|O-Man,POMGNT2_Type	ManT,O_ManT	Ser/Thr<[Dystro]>	Man(a1-?)Ser/Thr<[Dystro]>	None	Endoplasmic Reticulum	{Man(a1-?)}Ser/Thr<[Dystro]>						143
POMT1,POMT2			POMT2	Q9UKY4	Protein O-mannosyl-transferase 2	O-Man,POMGNT1_Type|O-Man,POMGNT2_Type	ManT,O_ManT	Ser/Thr<[Dystro]>	Man(a1-?)Ser/Thr<[Dystro]>	None	Endoplasmic Reticulum,Nucleus,Cytosol	{Man(a1-?)}Ser/Thr<[Dystro]>						144
None			POMGNT1	Q8WZA1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	O-Man,POMGNT1_Type	GlcNAcT, β2GlcNAcT	Man(a1-?)Ser/Thr	GlcNAc(b1-2)Man(a1-?)Ser/Thr	None	Endoplasmic Reticulum,Golgi	{GlcNAc(b1-2)}Man(a1-?)Ser/Thr						145
None			POMGNT2	Q8NAT1	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2	O-Man,POMGNT2_Type	GlcNAcT, β4GlcNAcT	Man(a1-?)Ser/Thr[Dystro]	GlcNAc(b1-4)Man(a1-?)Ser/Thr[Dystro]	None	Endoplasmic Reticulum	{GlcNAc(b1-4)}Man(a1-?)Ser/Thr[Dystro]						146
